,train_loss,val_loss,train_acc,val_acc,epochs
0,0.658485213915507,0.6074197922761624,0.6041666666666666,0.8647836538461539,0
1,0.642896850903829,0.6074154044573123,0.6015625,0.8659855769230769,1
2,0.6463784327109655,0.6071491115368329,0.6432291666666666,0.8659855769230769,2
3,0.6474215537309647,0.606923643213052,0.5703125,0.8659855769230769,3
4,0.6279957046111425,0.6065813979277244,0.625,0.8659855769230769,4
5,0.6620861242214838,0.6063268230511591,0.6119791666666666,0.8647836538461539,5
6,0.6518507202466329,0.606281408896813,0.6015625,0.8635817307692307,6
7,0.6292099008957545,0.6060217596017398,0.6145833333333334,0.8623798076923077,7
8,0.6570477982362112,0.6057456468160336,0.5755208333333334,0.8635817307692307,8
9,0.6408574630816778,0.6054312942119745,0.5989583333333334,0.8623798076923077,9
10,0.6386661380529404,0.6051275260173358,0.6328125,0.8623798076923077,10
11,0.6326828052600225,0.6048426937598449,0.5963541666666666,0.8623798076923077,11
12,0.647959957520167,0.6045083094101685,0.59375,0.8635817307692307,12
13,0.6296464651823044,0.6040313988924026,0.6588541666666666,0.8641826923076923,13
14,0.6394369006156921,0.6033915648093591,0.6041666666666666,0.8641826923076923,14
15,0.6309004053473473,0.6029916875637494,0.6119791666666666,0.8665865384615384,15
16,0.6384334166844686,0.6025507220855126,0.6223958333333334,0.8659855769230769,16
17,0.6401290992895762,0.6020181259283652,0.6015625,0.8665865384615384,17
18,0.6436455200115839,0.6016530360166843,0.5989583333333334,0.8665865384615384,18
19,0.6383408556381861,0.6012095797520417,0.5807291666666666,0.8665865384615384,19
20,0.6429256995519003,0.6008150210747352,0.5963541666666666,0.8665865384615384,20
21,0.6619416375954946,0.6007717354939535,0.578125,0.8671875,21
22,0.6513411949078242,0.6007447151037363,0.609375,0.8665865384615384,22
23,0.6372966915369034,0.6005412305776889,0.5703125,0.8665865384615384,23
24,0.6288057814041773,0.6001788985270721,0.6588541666666666,0.8671875,24
25,0.6389272709687551,0.5997724349682148,0.6171875,0.8671875,25
26,0.6704493661721548,0.5998166306660726,0.5833333333333334,0.8665865384615384,26
27,0.6435918907324473,0.5998717546463013,0.6302083333333334,0.8677884615384616,27
28,0.6557648579279581,0.5997580897349578,0.5859375,0.8671875,28
