,train_loss,val_loss,train_acc,val_acc,epochs
0,0.0479596413346668,0.010254002288093034,0.9864583333333332,0.9984375,0
1,0.054159369521133656,0.10104897182708328,0.9822695035460993,0.966796875,1
2,0.03527670204953178,0.020722726293115556,0.9892287234042553,0.9921875,2
3,0.03944014904876933,0.022988290223111107,0.9891843971631206,0.990234375,3
4,0.04637707224039771,0.006349839713948313,0.9845966312056738,0.9990234375,4
5,0.04291959229942596,0.09953277337835686,0.985970744680851,0.96484375,5
6,0.04346923558792786,0.008359339679373079,0.9860372340425532,0.99609375,6
7,0.048926102086663883,0.006978325489171766,0.9839317375886525,0.996484375,7
8,0.04286742170344615,0.013319247416802682,0.986857269503546,0.9951171875,8
9,0.04343429660500549,0.027078106753606335,0.9864804964539007,0.9892578125,9
